jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Michigan,Investigations Aided,investigations_aided,2008-02-13 11:21:29,48,decimal_spike_dip,True,False,False,False
Michigan,Investigations Aided,investigations_aided,2008-03-12 06:43:20,48,decimal_spike_dip,True,False,False,False
Michigan,Investigations Aided,investigations_aided,2008-04-09 08:58:32,48,decimal_spike_dip,True,False,False,False
Michigan,Investigations Aided,investigations_aided,2008-05-14 09:16:40,48,decimal_spike_dip,True,False,False,False
Michigan,Investigations Aided,investigations_aided,2008-05-23 18:17:46,48,decimal_spike_dip,True,False,False,False
Michigan,NDIS Labs,ndis_labs,2008-01-03 18:43:43,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-01-09 18:36:28,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-02-13 11:21:29,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-03-12 06:43:20,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-04-09 08:58:32,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-05-14 09:16:40,1,ndis_labs_spike,False,False,True,False
Michigan,NDIS Labs,ndis_labs,2008-05-23 18:17:46,1,ndis_labs_spike,False,False,True,False
Michigan,Offender Profiles,offender_profiles,2001-08-22 13:47:49,2036,spike_dip,False,True,False,False
Michigan,Offender Profiles,offender_profiles,2001-09-13 00:18:02,2036,spike_dip,False,True,False,False
Michigan,Offender Profiles,offender_profiles,2001-09-13 05:46:23,2036,spike_dip,False,True,False,False
Michigan,Offender Profiles,offender_profiles,2001-09-13 19:14:41,2036,spike_dip,False,True,False,False
Michigan,Offender Profiles,offender_profiles,2001-09-14 21:16:41,2036,spike_dip,False,True,False,False
Michigan,Offender Profiles,offender_profiles,2008-01-03 18:43:43,24838,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-01-09 18:36:28,24838,decimal_spike_dip,True,False,False,False
